,var_id,var_name,data_year
0,f00001,blank,0
1,f00002,header_fips_st_&_cty_code,0
2,f00003,entity_of_file,0
3,f00004,secondary_entity_of_file,0
4,f00005,date_of_file,0
5,f00006,date_of_creation,0
6,f00007,file_length,0
7,f00008,state_name,0
8,f12424,state_name_abbreviation,0
9,f00010,county_name,0
10,f04437,county_name_w/state_abbrev,0
11,f00011,fips_state_code,0
12,f00012,fips_county_code,0
13,f04439,census_region_code,0
14,f04448,census_region_name,0
15,f04440,census_division_code,0
16,f04449,census_division_name,0
17,f00023,federal_region_code,0
18,f13156,ssa_beneficiary_code,0
19,f1389120,core_based_stat_area_code(cbsa),0
20,f1389220,core_based_stat_area_name(cbsa),0
21,f1406720,cbsa_indicator_code,0
22,f1419520,cbsa_county_status,0
23,f1419320,metropolitan_division_code,0
24,f1419420,metropolitan_division_name,0
25,f1389320,combined_statistical_area_code,0
26,f1389420,combined_statistical_area_name,0
27,f0002013,rural_urban_continuum_code,0
28,f1255913,urban_influence_code,0
29,f1397315,economic_dependnt_typology_code,0
30,f1248115,farming_dependent_typology_code,0
31,f1248215,mining_dependent_typology_code,0
32,f1248315,manufacturing_dep_typology_code,0
33,f1248415,fed/st_govt_depdnt_typolgy_code,0
34,f1546915,recreation_typolpgy_code,0
35,f1248615,nonspecializd_dep_typology_code,0
36,f1397515,low_education_typology_code,0
37,f1397615,low_employment_typology_code,0
38,f1533414,high_poverty_typology_code,0
39,f1249014,persistent_povrty_typology_code,0
40,f1547015,persistent_child_pov_typol_code,0
41,f1397715,population_loss_typology_code,0
42,f1248715,retirement_destnatn_typlgy_code,0
43,f0355304,bea_economic_area_code,0
44,f1214404,bea_component_economc_area_code,0
45,f0355404,bea_economic_area_name,0
46,f1214604,bea_component_economc_area_name,0
47,f0978721,hpsa_code_primary_care_05/21,0
48,f0978720,hpsa_code_primary_care_05/20,0
49,f0978719,hpsa_code_primary_care_05/19,0
50,f0978718,hpsa_code_primary_care_05/18,0
51,f0978717,hpsa_code_primary_care_05/17,0
52,f0978716,hpsa_code_primary_care_05/16,0
53,f0978715,hpsa_code_primary_care_06/15,0
54,f0978710,hpsa_code_primary_care_12/10,0
55,f0979221,hpsa_code_dentists_05/21,0
56,f0979220,hpsa_code_dentists_05/20,0
57,f0979219,hpsa_code_dentists_05/19,0
58,f0979218,hpsa_code_dentists_05/18,0
59,f0979217,hpsa_code_dentists_05/17,0
60,f0979216,hpsa_code_dentists_05/16,0
61,f0979215,hpsa_code_dentists_06/15,0
62,f0979210,hpsa_code_dentists_12/10,0
63,f1249221,hpsa_code_mental_health_05/21,0
64,f1249220,hpsa_code_mental_health_05/20,0
65,f1249219,hpsa_code_mental_health_05/19,0
66,f1249218,hpsa_code_mental_health_05/18,0
67,f1249217,hpsa_code_mental_health_05/17,0
68,f1249216,hpsa_code_mental_health_05/16,0
69,f1249215,hpsa_code_mental_health_06/15,0
70,f1249210,hpsa_code_mental_health_12/10,0
71,f04101,contiguous_county_#_1,0
72,f04102,contiguous_county_#_2,0
73,f04103,contiguous_county_#_3,0
74,f04104,contiguous_county_#_4,0
75,f04105,contiguous_county_#_5,0
76,f04106,contiguous_county_#_6,0
77,f04107,contiguous_county_#_7,0
78,f04108,contiguous_county_#_8,0
79,f04109,contiguous_county_#_9,0
80,f04110,contiguous_county_#_10,0
81,f04111,contiguous_county_#_11,0
82,f04112,contiguous_county_#_12,0
83,f04113,contiguous_county_#_13,0
84,f04114,contiguous_county_#_14,0
85,f1467519,"phys,primary_care,_patient_care",0
86,f1467518,"phys,primary_care,_patient_care",0
87,f1467517,"phys,primary_care,_patient_care",0
88,f1467516,"phys,primary_care,_patient_care",0
89,f1467515,"phys,primary_care,_patient_care",0
90,f1467514,"phys,primary_care,_patient_care",0
91,f1467513,"phys,primary_care,_patient_care",0
92,f1467512,"phys,primary_care,_patient_care",0
93,f1467511,"phys,primary_care,_patient_care",0
94,f1467510,"phys,primary_care,_patient_care",0
95,f1467619,"phys,primary_care,_hsp_resident",0
96,f1467618,"phys,primary_care,_hsp_resident",0
97,f1467617,"phys,primary_care,_hsp_resident",0
98,f1467616,"phys,primary_care,_hsp_resident",0
99,f1467615,"phys,primary_care,_hsp_resident",0
100,f1467614,"phys,primary_care,_hsp_resident",0
101,f1467613,"phys,primary_care,_hsp_resident",0
102,f1467612,"phys,primary_care,_hsp_resident",0
103,f1467611,"phys,primary_care,_hsp_resident",0
104,f1467610,"phys,primary_care,_hsp_resident",0
105,f1467719,"md's,primary_care,_patient_care",0
106,f1467718,"md's,primary_care,_patient_care",0
107,f1467717,"md's,primary_care,_patient_care",0
108,f1467716,"md's,primary_care,_patient_care",0
109,f1467715,"md's,primary_care,_patient_care",0
110,f1467714,"md's,primary_care,_patient_care",0
111,f1467713,"md's,primary_care,_patient_care",0
112,f1467712,"md's,primary_care,_patient_care",0
113,f1467711,"md's,primary_care,_patient_care",0
114,f1467710,"md's,primary_care,_patient_care",0
115,f1467819,"md's,primary_care,_hsp_resident",0
116,f1467818,"md's,primary_care,_hsp_resident",0
117,f1467817,"md's,primary_care,_hsp_resident",0
118,f1467816,"md's,primary_care,_hsp_resident",0
119,f1467815,"md's,primary_care,_hsp_resident",0
120,f1467814,"md's,primary_care,_hsp_resident",0
121,f1467813,"md's,primary_care,_hsp_resident",0
122,f1467812,"md's,primary_care,_hsp_resident",0
123,f1467811,"md's,primary_care,_hsp_resident",0
124,f1467810,"md's,primary_care,_hsp_resident",0
125,f1467919,"do's,primary_care,_patient_care",0
126,f1467918,"do's,primary_care,_patient_care",0
127,f1467917,"do's,primary_care,_patient_care",0
128,f1467916,"do's,primary_care,_patient_care",0
129,f1467915,"do's,primary_care,_patient_care",0
130,f1467914,"do's,primary_care,_patient_care",0
131,f1467913,"do's,primary_care,_patient_care",0
132,f1467912,"do's,primary_care,_patient_care",0
133,f1467911,"do's,primary_care,_patient_care",0
134,f1467910,"do's,primary_care,_patient_care",0
135,f1468019,"do's,primary_care,_hsp_resident",0
136,f1468018,"do's,primary_care,_hsp_resident",0
137,f1468017,"do's,primary_care,_hsp_resident",0
138,f1468016,"do's,primary_care,_hsp_resident",0
139,f1468015,"do's,primary_care,_hsp_resident",0
140,f1468014,"do's,primary_care,_hsp_resident",0
141,f1468013,"do's,primary_care,_hsp_resident",0
142,f1468012,"do's,primary_care,_hsp_resident",0
143,f1468011,"do's,primary_care,_hsp_resident",0
144,f1468010,"do's,primary_care,_hsp_resident",0
145,f1212919,tot_active_m.d.s_non_fed_&_fed,0
146,f1212915,tot_active_m.d.s_non_fed_&_fed,0
147,f1212910,tot_active_m.d.s_non_fed_&_fed,0
148,f0885719,total_active_m.d.s_non_federal,0
149,f0885718,total_active_m.d.s_non_federal,0
150,f0885717,total_active_m.d.s_non_federal,0
151,f0885716,total_active_m.d.s_non_federal,0
152,f0885715,total_active_m.d.s_non_federal,0
153,f0885714,total_active_m.d.s_non_federal,0
154,f0885713,total_active_m.d.s_non_federal,0
155,f0885712,total_active_m.d.s_non_federal,0
156,f0885711,total_active_m.d.s_non_federal,0
157,f0885710,total_active_m.d.s_non_federal,0
158,f0885705,total_active_m.d.s_non_federal,0
159,f0885700,total_active_m.d.s_non_federal,0
160,f0885790,total_active_m.d.s_non_federal,0
161,f0885780,total_active_m.d.s_non_federal,0
162,f0885770,total_active_m.d.s_non_federal,0
163,f0885760,total_active_m.d.s_non_federal,0
164,f1212819,"total_m.d.'s,_tot_non_fed_&_fed",0
165,f1212815,"total_m.d.'s,_tot_non_fed_&_fed",0
166,f1212810,"total_m.d.'s,_tot_non_fed_&_fed",0
167,f0460219,"total_m.d.'s,_total_non_fed",0
168,f0460218,"total_m.d.'s,_total_non_fed",0
169,f0460217,"total_m.d.'s,_total_non_fed",0
170,f0460216,"total_m.d.'s,_total_non_fed",0
171,f0460215,"total_m.d.'s,_total_non_fed",0
172,f0460214,"total_m.d.'s,_total_non_fed",0
173,f0460213,"total_m.d.'s,_total_non_fed",0
174,f0460212,"total_m.d.'s,_total_non_fed",0
175,f0460211,"total_m.d.'s,_total_non_fed",0
176,f0460210,"total_m.d.'s,_total_non_fed",0
177,f0460205,"total_m.d.'s,_total_non_fed",0
178,f0460200,"total_m.d.'s,_total_non_fed",0
179,f1121519,"m.d.'s,_total_ptn_care_non_fed",0
180,f1121518,"m.d.'s,_total_ptn_care_non_fed",0
181,f1121517,"m.d.'s,_total_ptn_care_non_fed",0
182,f1121516,"m.d.'s,_total_ptn_care_non_fed",0
183,f1121515,"m.d.'s,_total_ptn_care_non_fed",0
